Run,SRA,Model,Assay,LibrarySelection,Class,Part of microRNAOme 1,CellType,batch used in the normalization approaches,group used in the normalization approaches,Total_reads,Total Filtered reads,Trimmed Reads (unique),All_miRNA_Reads,Filtered_miRNA_Reads,Unique_miRNAs,Hairpin miRNAs Reads,mature tRNA Reads,primary tRNA Reads,snoRNA Reads,rRNA Reads,Other ncRNA reads,mRNA Reads,Remaining Reads,Experiment,BioProject,Sample,BioSample,CenterName,DOI,PMID
SRR6726499,SRP132866,NextSeq 500,miRNA-Seq,size fractionation,Other,No,Chondrocyte,1,15,12546008,12546008,48210,10651969,10631202,453,3772,582065,7284,197552,87732,71046,15100,929488,SRX3699514,PRJNA434097,SRS2958987,SAMN08536208,GEO,DOI: 10.3390/jcm7120535,30544699
SRR1664893,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664893,Red_blood_cell,51,49,17692965,17098600,128975,14938190,14935096,517,10661,81084,8,497,208243,1615870,3727,240320,SRX769817,PRJNA268835,SRS753967,SAMN03225413,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664894,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664894,Red_blood_cell,51,49,16713448,16356343,110797,14287188,14284568,497,21996,43166,0,508,166728,1646378,3600,186779,SRX769819,PRJNA268835,SRS753969,SAMN03225414,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664895,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664895,Red_blood_cell,51,49,31614208,31475833,173103,28180483,28174244,622,33700,117413,28,1027,251816,2469781,7016,414569,SRX769818,PRJNA268835,SRS753968,SAMN03225416,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664896,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664896,Red_blood_cell,51,49,9927231,9827320,60220,8928193,8927293,329,3005,14893,1,130,108641,634319,1446,136692,SRX769820,PRJNA268835,SRS753971,SAMN03225415,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
SRR1664897,SRP050333,Illumina HiSeq 2000,ncRNA-Seq,size fractionation,RBC,SRR1664897,Red_blood_cell,51,49,21196809,20798327,140797,18676961,18673191,565,11034,41779,5,734,163301,1615594,6780,282139,SRX769821,PRJNA268835,SRS753970,SAMN03225412,GEO,DOI: 10.1186/s12864-015-2156-2,26573221
DRR041504,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2314993,2048529,109108,572588,570579,497,1091,69674,3792,77985,1085273,65077,14258,158791,DRX037138,PRJDB2675,DRS008197,SAMD00004864,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041616,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Lipocyte,159,66,2910584,2762162,124203,735695,732831,530,1649,404803,8425,51709,1290128,50939,13774,205040,DRX037250,PRJDB2675,DRS008196,SAMD00004821,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR5127221,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,Other,SRR5127221,Mesangial_cell,151,33,12711720,12523204,1301982,8096600,8051193,749,22955,909045,42013,213446,848957,287189,41758,2061241,SRX2441499,PRJNA358331,SRS1876165,SAMN06176852,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
SRR5127229,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,Other,SRR5127229,Chondrocyte,151,15,12973801,12420493,565122,8091738,8056375,847,26161,1410272,53186,360003,999656,292124,66009,1121344,SRX2441507,PRJNA358331,SRS1876173,SAMN06176842,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
SRR5127232,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,RBC,SRR5127232,Red_blood_cell,151,49,24526629,24287204,170379,21298180,21292211,728,20032,105694,108,31541,622327,1802986,8791,397545,SRX2441510,PRJNA358331,SRS1876176,SAMN06176871,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
SRR5127233,SRP095572,Illumina HiSeq 2500,miRNA-Seq,other,Other,SRR5127233,Osteoblast,151,41,20022000,19692249,1983075,10019917,9976793,707,27570,2992268,29672,330990,1917054,465986,54316,3854476,SRX2441511,PRJNA358331,SRS1876177,SAMN06176853,JOHNS HOPKINS UNIVERSITY SOM,10.1101/gr.222067.117,28877962
DRR041583,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Mesangial_cell,159,33,3086877,2891327,129018,657166,653237,511,3053,688985,6811,53238,1179424,62852,17605,222193,DRX037217,PRJDB2675,DRS008326,SAMD00005643,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041589,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Mesangial_cell,159,33,2796690,2621199,132015,647750,644886,508,2473,511391,4094,52332,1111509,71419,23035,197196,DRX037223,PRJDB2675,DRS008327,SAMD00005573,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR5901587,SRP114864,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Other,No,Mesangioblast_derived,103,34,16674143,10349177,615578,5374836,5305292,828,15052,786907,57432,580156,1189698,562446,80209,1702441,SRX3063156,PRJNA397215,SRS2408284,SAMN07451697,GEO,DOI: 10.1038/s41467-017-01359-w,29093487
SRR5901588,SRP114864,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Other,No,Mesangioblast_derived,103,34,15016871,10085115,610103,5599991,5519983,837,16817,846344,64767,403695,1026638,439235,76181,1611447,SRX3063157,PRJNA397215,SRS2408283,SAMN07451696,GEO,DOI: 10.1038/s41467-017-01359-w,29093487
SRR5901589,SRP114864,Illumina HiSeq 2500,miRNA-Seq,size fractionation,Other,No,Mesangioblast_derived,103,34,16004738,10401547,632530,5592709,5516008,809,15762,780393,57137,570769,1114813,514557,79655,1675752,SRX3063158,PRJNA397215,SRS2408282,SAMN07451695,GEO,DOI: 10.1038/s41467-017-01359-w,29093487
DRR041466,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Mesothelial_cell,159,35,1935807,1652191,84289,1160757,1157505,502,1296,71097,5936,50993,219586,28569,14712,99245,DRX037100,PRJDB2675,DRS008256,SAMD00005963,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041479,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Mesothelial_cell,159,35,1963031,1862915,99614,1151984,1148835,474,1133,55760,2590,77441,406789,28300,23426,115492,DRX037113,PRJDB2675,DRS008255,SAMD00004790,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041582,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Nucleus_pulposus_cell,159,40,1267911,991046,91020,353004,351580,358,888,95996,1598,33717,381010,37587,11963,75283,DRX037216,PRJDB2675,DRS008273,SAMD00005285,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041597,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Nucleus_pulposus_cell,159,40,302789,266172,29161,111595,111164,240,323,26875,450,5480,94533,6456,1653,18807,DRX037231,PRJDB2675,DRS008275,SAMD00005335,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041361,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteoblast,159,41,3119198,2582701,123275,1362779,1357833,567,2466,186309,18727,69359,676221,77813,20455,168572,DRX036995,PRJDB2675,DRS008286,SAMD00005685,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041418,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteoblast,159,41,1530529,1300000,72494,892730,888929,533,2128,108181,10052,33162,128086,31609,9080,84972,DRX037052,PRJDB2675,DRS008285,SAMD00005116,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041624,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteoblast,159,41,1902936,1758586,89101,1023438,1020522,482,2969,291796,10442,27003,251292,42369,9345,99932,DRX037258,PRJDB2675,DRS008284,SAMD00005515,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041678,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteoblast,159,41,5544264,5088394,273194,3431616,3415209,648,11092,278347,48356,287456,273789,208264,61990,487484,DRX037312,PRJDB2675,DRS017502,SAMD00021422,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR6324194,SRP125671,NextSeq 500,miRNA-Seq,size fractionation,Other,No,Osteoblast,10,41,10276769,10276769,122274,7903243,7894826,658,7474,1053506,7867,222944,197163,140603,29348,714621,SRX3423947,PRJNA419897,SRS2715586,SAMN08100219,GEO,DOI: 10.3390/ijms18112396,29137139
SRR6324195,SRP125671,NextSeq 500,miRNA-Seq,size fractionation,Other,No,Osteoblast,10,41,10976580,10976580,151474,6099062,6090154,630,9679,3404656,11323,247916,415439,184594,30781,573130,SRX3423948,PRJNA419897,SRS2715589,SAMN08100222,GEO,DOI: 10.3390/ijms18112396,29137139
DRR041396,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteocyte,159,42,1560623,850505,34132,621598,621042,335,484,45276,320,9445,125083,16508,1668,30123,DRX037030,PRJDB2675,DRS008282,SAMD00005579,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041604,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteocyte,159,42,1412245,1345759,61677,776474,775772,378,894,305903,1851,24678,135513,42104,4496,53846,DRX037238,PRJDB2675,DRS008281,SAMD00004808,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041618,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Osteocyte,159,42,6649668,5948100,176440,3169902,3168237,531,5557,710715,6395,89270,1425900,345144,19158,176059,DRX037252,PRJDB2675,DRS008283,SAMD00004715,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041369,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Pericyte_brain,159,44,3946274,3563726,140843,1148648,1144512,556,2171,250345,5542,124405,1694606,123651,25784,188574,DRX037003,PRJDB2675,DRS008288,SAMD00005782,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041404,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Other,No,Pericyte_brain,159,44,2077416,1780707,89528,795333,792822,503,1088,100485,5071,63132,619402,54192,11939,130065,DRX037038,PRJDB2675,DRS008290,SAMD00005463,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041355,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1478056,1156543,86199,356732,355142,371,1219,7116,1105,228918,366522,60120,8134,126677,DRX036989,PRJDB2675,DRS007934,SAMD00005354,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041447,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1807275,1620287,69718,1172002,1169635,439,809,75857,2635,58086,201236,29295,8614,71753,DRX037081,PRJDB2675,DRS008301,SAMD00004851,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041467,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2822419,2386151,102587,1185361,1181094,542,3483,150510,12882,64528,740208,65105,16221,147853,DRX037101,PRJDB2675,DRS008305,SAMD00005889,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041473,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2659537,2330194,90157,1665472,1662934,476,1419,133278,5845,91272,276919,47199,9267,99523,DRX037107,PRJDB2675,DRS008300,SAMD00005471,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041487,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1577400,1471200,87722,903824,898341,526,3646,130854,6188,47829,200200,40201,14345,124113,DRX037121,PRJDB2675,DRS008308,SAMD00005228,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041493,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2567091,2448607,95480,1781659,1779503,502,1349,108367,4248,83204,296559,45310,12651,115260,DRX037127,PRJDB2675,DRS008302,SAMD00005229,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041511,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1702268,1445513,115626,786551,779979,525,3402,179653,7487,39782,225444,42230,19937,141027,DRX037145,PRJDB2675,DRS008306,SAMD00004847,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041517,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2196446,1967621,67891,1546300,1544320,461,830,49840,4457,76926,184866,35441,6295,62666,DRX037151,PRJDB2675,DRS008303,SAMD00005026,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041527,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,1643496,1397313,143418,677335,673280,485,2065,206880,3989,38417,202163,35868,110699,119897,DRX037161,PRJDB2675,DRS008309,SAMD00005360,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041536,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2681089,2511383,79976,1552025,1550414,475,1152,605737,6896,42763,165071,35711,5696,96332,DRX037170,PRJDB2675,DRS008304,SAMD00005735,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041554,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2096707,1898122,71288,1065863,1062745,470,3382,578714,5408,18290,119822,22660,7284,76699,DRX037188,PRJDB2675,DRS008307,SAMD00005562,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
DRR041575,DRP001151,Illumina HiSeq 2000,miRNA-Seq,unspecified,Fat,No,Preadipocyte,159,47,2719091,2492791,105143,1149803,1144971,517,4553,912475,10669,33126,168309,37424,13941,162491,DRX037209,PRJDB2675,DRS008310,SAMD00004752,RIKEN_OSC,DOI: 10.1038/nbt.3947,28829439
SRR1044598,SRP033566,Illumina Genome Analyzer IIx,RNA-Seq,size fractionation,RBC,No,Red_blood_cell,1,49,1290214,1262255,16514,1235543,1125449,146,7128,656,19,70,1284,7384,35,10136,SRX388389,PRJNA230811,SRS512276,SAMN02437714,GEO,DOI: 10.1073/pnas.1401724111,25012294
SRR5755825,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3204336,1563144,22192,973090,972505,255,529,3312,1,257,3720,30023,419,551793,SRX2956005,PRJNA391912,SRS2313208,SAMN07277879,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755860,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,10300082,10159150,644230,161921,105151,147,105,1008,1,1026,4667,35307,1191,9953924,SRX2956040,PRJNA391912,SRS2313243,SAMN07277695,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755895,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3554511,2644478,23836,79800,78435,127,85,1174,2,132,806,5583,51,2556845,SRX2956075,PRJNA391912,SRS2313278,SAMN07277712,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755902,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3646607,2899171,23504,173707,172730,173,251,1556,0,135,2443,10025,83,2710971,SRX2956082,PRJNA391912,SRS2313285,SAMN07277864,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755909,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3351764,2755627,21637,214714,213770,174,103,876,0,173,1848,10068,76,2527769,SRX2956089,PRJNA391912,SRS2313292,SAMN07277856,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755916,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1933432,1543721,16680,189166,187678,172,280,654,0,571,2050,14087,234,1336679,SRX2956096,PRJNA391912,SRS2313299,SAMN07277390,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755923,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1731866,1713796,11344,103714,102561,132,89,282,1,602,1215,6611,205,1601077,SRX2956103,PRJNA391912,SRS2313306,SAMN07277516,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755930,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3470944,3421165,25474,328796,325951,193,250,1049,0,1174,5926,27379,395,3056196,SRX2956110,PRJNA391912,SRS2313313,SAMN07277509,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755937,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2600893,2408905,16326,130428,129257,142,116,946,1,970,1810,8231,322,2266081,SRX2956117,PRJNA391912,SRS2313320,SAMN07277502,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755944,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1490589,1201116,11198,131781,131518,147,123,511,0,148,1923,7723,65,1058842,SRX2956124,PRJNA391912,SRS2313327,SAMN07277525,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755951,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1721543,1468154,12731,129694,129379,140,65,408,0,132,3093,10536,53,1324173,SRX2956131,PRJNA391912,SRS2313334,SAMN07277518,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755958,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3128728,2338014,16934,130356,129595,138,67,1030,0,209,4933,13393,94,2187932,SRX2956138,PRJNA391912,SRS2313341,SAMN07277627,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755965,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2040382,1554456,13704,71684,71377,121,81,841,0,149,2779,8472,60,1470390,SRX2956145,PRJNA391912,SRS2313348,SAMN07277620,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755972,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,1768512,1691233,10541,117567,117272,147,134,302,0,365,1027,6849,128,1564861,SRX2956152,PRJNA391912,SRS2313355,SAMN07277643,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755979,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,4944185,3760068,27796,535710,534724,239,234,2521,1,886,10588,33932,394,3175802,SRX2956159,PRJNA391912,SRS2313362,SAMN07277636,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755986,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,7347679,4068070,30166,727317,725438,267,620,1815,2,1269,5493,32673,427,3298454,SRX2956166,PRJNA391912,SRS2313369,SAMN07277786,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5755993,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,7368450,3909318,38602,584424,582239,258,407,2607,1,1213,9607,25819,495,3284745,SRX2956173,PRJNA391912,SRS2313376,SAMN07277778,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756000,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3141008,3075666,23682,640454,639984,243,573,2334,2,249,6928,35390,249,2389487,SRX2956180,PRJNA391912,SRS2313383,SAMN07277770,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756007,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2255975,2200737,15426,468707,468373,213,225,1755,2,259,4378,20576,170,1704665,SRX2956187,PRJNA391912,SRS2313389,SAMN07277843,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756060,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3533822,2213256,20408,101851,100061,138,31,288,0,296,1341,5271,82,2104096,SRX2956240,PRJNA391912,SRS2313443,SAMN07277401,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756067,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2754914,2005278,18679,173165,172124,164,214,409,1,230,2306,11571,83,1817299,SRX2956247,PRJNA391912,SRS2313450,SAMN07277816,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756074,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3988169,2483959,22616,360039,358582,226,175,916,0,748,2977,23492,262,2095350,SRX2956254,PRJNA391912,SRS2313457,SAMN07277809,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756081,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,2446292,1849344,17402,303810,303166,204,295,336,0,492,1564,14218,173,1528456,SRX2956261,PRJNA391912,SRS2313464,SAMN07277802,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756088,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3416917,2440903,16343,119109,118293,145,74,303,0,791,2176,9690,191,2308569,SRX2956268,PRJNA391912,SRS2313471,SAMN07277795,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756095,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,3241033,2599707,21029,343341,342483,204,220,819,0,800,2310,17157,218,2234842,SRX2956275,PRJNA391912,SRS2313478,SAMN07277792,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756102,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,4078586,3669467,22668,379464,376801,193,243,981,2,1502,3315,16307,395,3267258,SRX2956282,PRJNA391912,SRS2313485,SAMN07277757,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR5756109,SRP110505,Illumina HiSeq 2000,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,158,49,6966323,6745723,26892,168719,163414,160,63,1020,0,2359,2841,7064,534,6563123,SRX2956289,PRJNA391912,SRS2313492,SAMN07277749,GEO,DOI: 10.1093/nar/gkx706,28934507
SRR7545527,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,16007105,14034589,98082,12942997,12940117,555,4788,18308,180,470,156207,158756,6471,746412,SRX4411819,PRJNA482110,SRS3565389,SAMN09695777,GEO,-,-
SRR7545528,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,13750987,13371723,88215,12789818,12787709,540,2816,97232,240,538,84548,142984,5504,248043,SRX4411820,PRJNA482110,SRS3565390,SAMN09695786,GEO,-,-
SRR7545529,SRP154556,Illumina HiSeq 2500,miRNA-Seq,size fractionation,RBC,No,Red_blood_cell,28,49,17203187,16057701,119845,15096410,15093685,557,12600,76946,265,830,187138,237300,9414,436798,SRX4411821,PRJNA482110,SRS3565391,SAMN09695785,GEO,-,-
